member_name,member_start_date,member_end_date,political_party,administrative_region,gender,roles,government_name
παπαφιλιππου παντελη νικολαος,1990-04-08,1993-09-11,νεα δημοκρατια,κοζανης,male,[],"['ζολωτα ξενοφωντα(23/11/1989-11/04/1990)', 'μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)']"
παπαφιλιππου παντελη νικολαος,1993-10-10,1996-08-24,νεα δημοκρατια,κοζανης,male,[],"['μητσοτακη κωνσταντινου(11/04/1990-13/10/1993)', 'παπανδρεου ανδρεα(13/10/1993-22/01/1996)', 'σημιτη κωνσταντινου(22/01/1996-25/09/1996)']"
παπαφιλιππου παντελη νικολαος,1996-09-22,2000-03-14,νεα δημοκρατια,κοζανης,male,[],"['σημιτη κωνσταντινου(22/01/1996-25/09/1996)', 'σημιτη κωνσταντινου(25/09/1996-13/04/2000)']"
παπαχρηστος καλλιμαχου ευαγγελος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,πρεβεζας,male,[],"['σημιτη κωνσταντινου(13/04/2000-10/03/2004)', 'καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)']"
παπαχρηστος καλλιμαχου ευαγγελος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,πρεβεζας,male,[],"['καραμανλη α. κωνσταντινου(10/03/2004-19/09/2007)', 'καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)']"
παπαχρηστος καλλιμαχου ευαγγελος,2010-12-14,2012-04-11,ανεξαρτητοι (εκτος κομματος),πρεβεζας,male,[],"['παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)', 'παπαδημου λουκα δ.(11/11/2011-17/05/2012)']"
παπαχρηστος καλλιμαχου ευαγγελος,2009-10-04,2010-12-13,πανελληνιο σοσιαλιστικο κινημα,πρεβεζας,male,[],"['καραμανλη α. κωνσταντινου(19/09/2007-07/10/2009)', 'παπανδρεου α. γεωργιου(06/10/2009-11/11/2011)']"
παπαχρηστος νικολαου αθανασιος,1989-06-18,1989-10-12,νεα δημοκρατια,τρικαλων,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
παπαχρηστος νικολαου αθανασιος,1989-11-05,1990-03-12,νεα δημοκρατια,τρικαλων,male,[],"['γριβα ιωαννη(12/10/1989-23/11/1989)', 'ζολωτα ξενοφωντα(23/11/1989-11/04/1990)']"
παπαχριστοπουλος θεμιστοκλη αθανασιος (θανασης),2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,β' αθηνων,male,[],"['σαμαρα κ. αντωνιου(21/06/2012-26/01/2015)', 'τσιπρα π. αλεξιου(26/01/2015-27/08/2015)', 'θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)']"
παπαχριστοπουλος θεμιστοκλη αθανασιος (θανασης),2015-09-20,2019-02-08,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,β' αθηνων,male,[],"['θανου-χριστοφιλου βασιλικης (υπηρεσιακη)(27/08/2015-21/09/2015)', 'τσιπρα π. αλεξιου(21/09/2015-08/07/2019)']"
παπαχριστοπουλος θεμιστοκλη αθανασιος (θανασης),2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,β2' δυτικου τομεα αθηνων,male,[],"['τσιπρα π. αλεξιου(21/09/2015-08/07/2019)', 'μητσοτακη κυριακου(08/07/2019-28/07/2020)']"
παπουλιας γρηγοριου καρολος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male,[],"['τζαννετακη τζαννη(02/07/1989-12/10/1989)', 'γριβα ιωαννη(12/10/1989-23/11/1989)']"
