member_name,member_start_date,member_end_date,political_party,administrative_region,gender
αντωνιου δημητριου χρηστος,1993-10-10,1996-08-24,νεα δημοκρατια,μαγνησιας,male
μελας παναγιωτη ιωαννης,2019-07-07,2020-07-25,νεα δημοκρατια,α' πειραιως,male
μελιδης αναστασιου ιωαννης,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,αργολιδος,male
μελιδης αναστασιου ιωαννης,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,αργολιδος,male
μελιδης αναστασιου ιωαννης,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,αργολιδος,male
μελιδης αναστασιου ιωαννης,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,αργολιδος,male
μερεντιτη δημητριου αθανασια (σουλα),2000-04-09,2000-09-20,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,female
μερεντιτη δημητριου αθανασια (σουλα),2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,female
μερεντιτη δημητριου αθανασια (σουλα),2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,female
μερεντιτη δημητριου αθανασια (σουλα),2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,female
μερκουρη σταματιου αμαλια-μαρια (μελινα),1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female
μερκουρη σταματιου αμαλια-μαρια (μελινα),1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female
μερκουρη σταματιου αμαλια-μαρια (μελινα),1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female
μερκουρη σταματιου αμαλια-μαρια (μελινα),1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female
μερκουρη σταματιου αμαλια-μαρια (μελινα),1993-10-10,1994-03-06,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female
μεσσαρης ευαγγελου γερασιμος,1989-06-18,1989-10-12,νεα δημοκρατια,κεφαλληνιας,male
μεσσαρης ευαγγελου γερασιμος,1989-11-05,1990-03-12,νεα δημοκρατια,κεφαλληνιας,male
μεχμετ μουσταφα αχμετ,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ροδοπης,male
αντωνιου νικολαου αντωνια (τονια),2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας,female
αντωνιου νικολαου αντωνια (τονια),2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας,female
αντωνιου νικολαου αντωνια (τονια),2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας,female
μητακιδης αθανασιου δημοσθενης,1993-09-08,1993-09-11,νεα δημοκρατια,σερρων,male
μηταρακης αντωνιου παναγιωτης (νοτης),2012-05-06,2012-05-19,νεα δημοκρατια,α' αθηνων,male
μηταρακης αντωνιου παναγιωτης (νοτης),2012-06-17,2014-12-31,νεα δημοκρατια,α' αθηνων,male
μηταρακης αντωνιου παναγιωτης (νοτης),2015-01-25,2015-08-28,νεα δημοκρατια,χιου,male
