member_name,member_start_date,member_end_date,political_party,administrative_region,gender
νεραντζης δημητριου αναστασιος,2012-06-17,2014-12-31,νεα δημοκρατια,β' πειραιως,male
νεστωρ ιγνατιου στυλιανος,1989-06-18,1989-10-12,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' θεσσαλονικης,male
νιανιας γεωργιου δημητριος,1989-01-01,1989-06-02,νεα δημοκρατια,λεσβου,male
νικητιαδης νικολαου γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,δωδεκανησου,male
νικητιαδης νικολαου γεωργιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,δωδεκανησου,male
νικηφορακης γεωργιου στυλιανος,2004-03-07,2007-08-18,νεα δημοκρατια,χανιων,male
νικηφορακης γεωργιου στυλιανος,2007-09-16,2009-09-07,νεα δημοκρατια,χανιων,male
νικολαιδης χρηστου ιωαννης,2003-01-08,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
νικολαιδου αρισταρχου βαρβαρα (βερα),2005-11-03,2007-08-18,κομμουνιστικο κομμα ελλαδας,β' πειραιως,female
νικολαιδου αρισταρχου βαρβαρα (βερα),2007-09-16,2009-09-07,κομμουνιστικο κομμα ελλαδας,β' πειραιως,female
νικολαιδου αρισταρχου βαρβαρα (βερα),2009-10-04,2012-04-11,κομμουνιστικο κομμα ελλαδας,β' πειραιως,female
νικολακοπουλος θεοδωρου ανδρεας,2019-07-07,2020-07-25,νεα δημοκρατια,ηλειας,male
αραμπατζη αθανασιου φωτεινη,2012-05-06,2012-05-19,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2012-06-17,2014-12-31,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2015-01-25,2015-08-28,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2015-09-20,2019-06-11,νεα δημοκρατια,σερρων,female
αραμπατζη αθανασιου φωτεινη,2019-07-07,2020-07-25,νεα δημοκρατια,σερρων,female
νικολοπουλος ιωαννου νικολαος,1989-11-05,1990-03-12,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,1990-04-08,1993-09-11,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,1993-10-10,1996-08-24,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,1996-09-22,2000-03-14,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2000-04-09,2004-02-11,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2004-03-07,2007-08-18,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2009-10-04,2012-04-11,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2012-05-06,2012-05-19,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2014-10-07,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2013-11-06,2014-10-06,ανεξαρτητοι δημοκρατικοι βουλευτες,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2012-08-03,2013-11-05,ανεξαρτητοι (εκτος κομματος),αχαιας,male
νικολοπουλος ιωαννου νικολαος,2012-06-17,2012-08-02,νεα δημοκρατια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,αχαιας,male
νικολοπουλος ιωαννου νικολαος,2015-11-19,2019-06-11,ανεξαρτητοι (εκτος κομματος),αχαιας,male
νικολοπουλος ιωαννου νικολαος,2015-09-20,2015-11-18,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,αχαιας,male
νικοπουλος βασιλειου αναστασιος,1993-10-10,1996-08-24,πολιτικη ανοιξη,β' θεσσαλονικης,male
νιωτης δημητριου γρηγοριος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νιωτης δημητριου γρηγοριος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,β' πειραιως,male
νοτοπουλου παναγιωτη αικατερινη (κατερινα),2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,female
νταβλουρος περικλη αθανασιος,2012-05-06,2012-05-19,νεα δημοκρατια,αχαιας,male
νταβλουρος περικλη αθανασιος,2012-06-17,2014-12-31,νεα δημοκρατια,αχαιας,male
νταβρης χαραλαμπους γεωργιος,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,αχαιας,male
νταβρης χαραλαμπους γεωργιος,2014-01-22,2014-12-31,ανεξαρτητοι δημοκρατικοι βουλευτες,αχαιας,male
νταβρης χαραλαμπους γεωργιος,2014-01-13,2014-01-21,ανεξαρτητοι (εκτος κομματος),αχαιας,male
νταβρης χαραλαμπους γεωργιος,2012-06-17,2014-01-12,ανεξαρτητοι ελληνες - πανος καμμενος,αχαιας,male
νταλαρα γεωργιου αννα,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female
ντεγιαννης αθανασιου ιωαννης,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,male
ντεντιδακης εμμανουηλ αντωνιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
ντεντιδακης εμμανουηλ αντωνιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
ντεντιδακης εμμανουηλ αντωνιος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
ντεντιδακης εμμανουηλ αντωνιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' πειραιως,male
αγγελοπουλος κωνσταντινου νικολαος,1989-06-18,1989-10-12,νεα δημοκρατια,α' αθηνων,male
αγγελοπουλος κωνσταντινου νικολαος,1990-01-12,1990-03-12,νεα δημοκρατια,α' αθηνων,male
αγγελοπουλος κωνσταντινου νικολαος,1990-04-08,1993-09-11,νεα δημοκρατια,α' αθηνων,male
αγγελοπουλος κωνσταντινου νικολαος,2000-04-09,2004-02-11,νεα δημοκρατια,αιτωλοακαρνανιας,male
αγγελοπουλος κωνσταντινου νικολαος,2004-03-07,2007-08-18,νεα δημοκρατια,αιτωλοακαρνανιας,male
αραπη-καραγιαννη σωτηριου βασιλικη,1996-09-22,2000-03-14,δημοκρατικο κοινωνικο κινημα,α' αθηνων,female
ντερος αθανασιου κωνσταντινος,1989-11-05,1990-03-10,πανελληνιο σοσιαλιστικο κινημα,λακωνιας,male
ντζιμανης δημητριου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,male
ντινοπουλος βασιλειου αργυρης,2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male
ντινοπουλος βασιλειου αργυρης,2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male
ντινοπουλος βασιλειου αργυρης,2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male
ντινοπουλος βασιλειου αργυρης,2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male
ντολιος πασχαλη γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντολιος πασχαλη γεωργιος,2012-06-17,2014-12-31,πανελληνιο σοσιαλιστικο κινημα,εβρου,male
ντουκακης ιωαννη μανουσος,2012-02-20,2012-04-11,λαικος ορθοδοξος συναγερμος,β' αθηνων,male
ντουσκας γεωργιου δημητριος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,πρεβεζας,male
ντουτσος στυλιανου ανδρεας,1993-10-10,1996-01-17,πανελληνιο σοσιαλιστικο κινημα,αργολιδος,male
νυφουδης σταυρου νικολαος,2019-05-07,2019-06-11,το ποταμι,β' θεσσαλονικης,male
νυφουδης σταυρου νικολαος,2019-05-06,2019-05-06,ανεξαρτητοι (εκτος κομματος),β' θεσσαλονικης,male
ξανθοπουλος δημητριου αθανασιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,χαλκιδικης,male
ξανθοπουλος σαββα θεοφιλος,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,δραμας,male
αραπης αναστασιου ιωαννης,1996-09-22,2000-03-14,δημοκρατικο κοινωνικο κινημα,β' πειραιως,male
ξανθος γεωργιου ανδρεας,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξανθος γεωργιου ανδρεας,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,ρεθυμνης,male
ξαρχακος λεωνιδα σταυρος,1989-06-18,1989-10-12,νεα δημοκρατια,α' αθηνων,male
ξαρχακος λεωνιδα σταυρος,1989-11-05,1990-01-12,νεα δημοκρατια,α' αθηνων,male
ξαρχας λαζαρου αθανασιος,1989-01-01,1989-06-02,νεα δημοκρατια,φθιωτιδας,male
ξαρχας λαζαρου αθανασιος,1989-06-18,1989-10-12,νεα δημοκρατια,φθιωτιδας,male
ξαρχας λαζαρου αθανασιος,1989-11-05,1990-03-12,νεα δημοκρατια,φθιωτιδας,male
ξαρχας λαζαρου αθανασιος,1990-04-08,1993-09-11,νεα δημοκρατια,φθιωτιδας,male
ξενογιαννακοπουλου διονυσιου μαρια-ελιζα (μαριλιζα),2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female
ξενογιαννακοπουλου διονυσιου μαρια-ελιζα (μαριλιζα),2012-02-12,2012-04-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων,female
ξενογιαννακοπουλου διονυσιου μαρια-ελιζα (μαριλιζα),2009-10-04,2012-02-11,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,female
ξενογιαννακοπουλου διονυσιου μαρια-ελιζα (μαριλιζα),2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,β1' βορειου τομεα αθηνων,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2000-04-09,2004-02-11,συνασπισμος της αριστερας των κινηματων και της οικολογιας,α' θεσσαλονικης,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2004-03-07,2007-08-18,συνασπισμος ριζοσπαστικης αριστερας,α' θεσσαλονικης,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2012-05-06,2012-05-19,δημοκρατικη αριστερα,α' θεσσαλονικης,female
ξηροτυρη-αικατεριναρη γεωργιου ασημινα,2012-06-17,2014-12-31,δημοκρατικη αριστερα,α' θεσσαλονικης,female
ξουλιδου ιωαννη σταυρουλα,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,β' θεσσαλονικης,female
ξουλιδου ιωαννη σταυρουλα,2012-06-17,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,β' θεσσαλονικης,female
ξουλιδου ιωαννη σταυρουλα,2015-01-25,2015-08-28,ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,β' θεσσαλονικης,female
ξυδακης γαλατη νικολαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
ξυδακης γαλατη νικολαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
ξυνιδης γεωργιου σωκρατης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ξανθης,male
οθωνας οθωνα εμμανουηλ,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male
οθωνας οθωνα εμμανουηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male
οθωνας οθωνα εμμανουηλ,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης,male
αραπογλου ανεστη χρυση,2000-04-09,2000-10-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,female
αραπογλου ανεστη χρυση,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,female
αραπογλου ανεστη χρυση,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,female
αραπογλου ανεστη χρυση,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης,female
οικονομιδης θεοδοσιου παναγιωτης,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,αρτας,male
οικονομιδης θεοδοσιου παναγιωτης,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,αρτας,male
οικονομιδης θεοδοσιου παναγιωτης,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,αρτας,male
οικονομιδης θεοδοσιου παναγιωτης,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,αρτας,male
οικονομοπουλος βασιλειου νικολαος,1993-10-10,1996-08-24,πολιτικη ανοιξη,αχαιας,male
οικονομου αθανασιου βασιλειος,2000-04-09,2000-12-13,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2012-03-26,2012-04-11,δημοκρατικη αριστερα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2010-05-06,2012-03-25,ανεξαρτητοι (εκτος κομματος),αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2009-10-04,2010-05-05,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
οικονομου αθανασιου βασιλειος,2012-05-06,2012-05-19,δημοκρατικη αριστερα,αττικης,male
οικονομου αθανασιου βασιλειος,2014-06-06,2014-12-31,ανεξαρτητοι (εκτος κομματος),αττικης,male
οικονομου αθανασιου βασιλειος,2012-06-17,2014-06-05,δημοκρατικη αριστερα,αττικης,male
οικονομου αθανασιου βασιλειος,2015-01-25,2015-08-28,νεα δημοκρατια,επικρατειας,male
οικονομου αθανασιου βασιλειος,2015-09-20,2019-06-11,νεα δημοκρατια,επικρατειας,male
οικονομου αθανασιου βασιλειος,2019-07-07,2020-07-25,νεα δημοκρατια,α' ανατολικης αττικης,male
οικονομου αλεξανδρου ξενοφων,1989-09-26,1989-10-12,νεα δημοκρατια,ευρυτανιας,male
οικονομου γεωργιου χρηστος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
οικονομου γεωργιου χρηστος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
οικονομου γεωργιου χρηστος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
οικονομου γεωργιου χρηστος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
οικονομου γεωργιου χρηστος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
οικονομου γεωργιου χρηστος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
οικονομου δημητριου ιωαννης,2019-07-07,2020-07-25,νεα δημοκρατια,φθιωτιδας,male
οικονομου σπυριδωνα παντελης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male
οικονομου σπυριδωνα παντελης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male
οικονομου σωκρατη αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male
αραπογλου διαμαντη δημητρα,2007-09-16,2009-09-07,λαικος ορθοδοξος συναγερμος,β' πειραιως,female
οικονομου χρηστου γεωργιος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
ορφανος δημητριου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2004-03-07,2007-08-18,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2012-05-06,2012-05-19,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2012-06-17,2014-12-31,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου νικολαος,2015-01-25,2015-08-28,το ποταμι,β' πειραιως,male
ουζουνιδης δημητριου μαρινος,2012-06-17,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,εβρου,male
ουζουνιδου χρηστου ευγενια,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,female
ουζουνιδου χρηστου ευγενια,2015-08-21,2015-08-28,λαικη ενοτητα,κοζανης,female
ουζουνιδου χρηστου ευγενια,2015-01-25,2015-08-20,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,female
ουρσουζιδης νικολαου γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male
ουρσουζιδης νικολαου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male
παγκαλος γεωργιου θεοδωρος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγοροπουλος ιωαννη δημητριος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,β' αθηνων,male
παλαιοθοδωρος αναστασιου δημητριος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,ζακυνθου,male
παλαιοθοδωρος αναστασιου δημητριος,1990-04-24,1991-05-29,πανελληνιο σοσιαλιστικο κινημα,ζακυνθου,male
παλαιοθοδωρος αναστασιου δημητριος,1990-04-08,1990-04-23,ανεξαρτητοι (εκτος κομματος),ζακυνθου,male
παλαιοθοδωρος αναστασιου δημητριος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,ζακυνθου,male
παλαιοκρασσας δημητριου ιωαννης,1989-01-01,1989-06-02,νεα δημοκρατια,κυκλαδων,male
παλαιοκρασσας δημητριου ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,κυκλαδων,male
παλαιοκρασσας δημητριου ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,κυκλαδων,male
παλαιοκρασσας δημητριου ιωαννης,2004-03-07,2004-03-26,νεα δημοκρατια,κυκλαδων,male
αραχωβιτης γεωργιου σταυρος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,λακωνιας,male
αραχωβιτης γεωργιου σταυρος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,λακωνιας,male
αραχωβιτης γεωργιου σταυρος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,λακωνιας,male
αραχωβιτης γεωργιου σταυρος,2019-07-07,2020-07-25,συνασπισμος ριζοσπαστικης αριστερας,λακωνιας,male
παλλας δημητριου δημητριος,1989-01-01,1989-06-02,νεα δημοκρατια,β' πειραιως,male
παλλης ευστρατιου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,λεσβου,male
παλμος νικολαου παναγιωτης,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,λευκαδας,male
παναγιωταρος κωνσταντινου ηλιας,2012-05-06,2012-05-19,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωταρος κωνσταντινου ηλιας,2012-06-17,2014-12-31,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωταρος κωνσταντινου ηλιας,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωταρος κωνσταντινου ηλιας,2015-09-20,2019-06-11,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωτιδης νικολαου ιωαννης,1989-01-01,1989-06-02,νεα δημοκρατια,σερρων,male
παναγιωτιδης νικολαου ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,σερρων,male
παναγιωτιδης νικολαου ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,σερρων,male
παναγιωτιδης νικολαου ιωαννης,1990-04-08,1991-04-20,νεα δημοκρατια,σερρων,male
παναγιωτοπουλος θεοδωρου αθανασιος,1996-09-22,2000-03-14,νεα δημοκρατια,ευρυτανιας,male
παναγιωτοπουλος ιωαννη νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2009-10-04,2012-04-11,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2012-05-06,2012-05-19,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2012-06-17,2014-12-31,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2015-01-25,2015-08-28,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2015-09-20,2019-06-11,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2019-07-07,2020-07-25,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1989-01-01,1989-06-02,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1993-10-10,1996-08-24,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2000-04-09,2004-02-11,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2019-05-06,2019-06-11,νεα δημοκρατια,β' αθηνων,male
παναγιωτου αναστασιου σταυρος,1996-09-22,2000-03-14,κομμουνιστικο κομμα ελλαδας,σερρων,male
αρβανιτη-πρεβεζανου ανδρεα ευγενια,2012-05-06,2012-05-19,ανεξαρτητοι ελληνες - πανος καμμενος,αττικης,female
παναγουλης βασιλειου ευσταθιος (σταθης),1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2015-11-19,2019-06-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2015-09-20,2015-11-18,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
παναριτη ιωαννου ελενη (ελενα),2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female
πανας νικολαου αποστολος,2019-07-07,2020-07-25,κινημα αλλαγης,χαλκιδικης,male
πανουργιας στυλιανου πανουργιας,1989-01-01,1989-06-02,νεα δημοκρατια,φθιωτιδας,male
πανουσης αποστολου ιωαννης,2012-05-06,2012-05-19,δημοκρατικη αριστερα,α' αθηνων,male
πανουσης αποστολου ιωαννης,2012-06-17,2014-12-31,δημοκρατικη αριστερα,α' αθηνων,male
