member_name,role,role_start_date,role_end_date,gender
αναστασιος κουρακης,αναπληρωτης υπουργος πολιτισμου παιδειας και θρησκευματων,27/01/2015,27/08/2015,male
αναστασιος λιασκος,υφυπουργος τουρισμου,18/03/2004,15/02/2006,male
αναστασιος μαντελης,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,25/09/1996,02/09/1997,male
αναστασιος μαντελης,υπουργος μεταφορων και επικοινωνιων,02/09/1997,13/04/2000,male
αναστασιος νεραντζης,υφυπουργος μεταφορων και επικοινωνιων,10/03/2004,15/02/2006,male
αναστασιος νεραντζης,υφυπουργος αναπτυξης,15/02/2006,19/09/2007,male
αναστασιος παπαληγουρας,υπουργος δικαιοσυνης,10/03/2004,19/09/2007,male
αναστασιος παπαληγουρας,υπουργος εμπορικης ναυτιλιας αιγαιου και νησιωτικης πολιτικης,13/09/2008,07/10/2009,male
αναστασιος πεπονης,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,23/11/1989,13/02/1990,male
αναστασιος πεπονης,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,15/09/1995,22/01/1996,male
αναστασιος πεπονης,υπουργος δικαιοσυνης,10/02/1995,15/09/1995,male
αναστασιος πεπονης,υπουργος προεδριας της κυβερνησης,13/10/1993,28/12/1994,male
αναστασιος πεπονης,υπουργος υγειας και προνοιας,22/01/1996,25/09/1996,male
αναστασιος πετροπουλος,υφυπουργος εργασιας κοινωνικης ασφαλισης και κοινωνικης αλληλεγγυης,23/09/2015,09/07/2019,male
αναστασιος σπηλιοπουλος,υφυπουργος εθνικης παιδειας και θρησκευματων,03/12/1992,13/10/1993,male
ανδρεας ανδριανοπουλος,υπουργος εμποριου,02/07/1989,12/10/1989,male
ανδρεας ανδριανοπουλος,υπουργος βιομηχανιας ενεργειας και τεχνολογιας,08/08/1991,07/08/1992,male
ανδρεας ανδριανοπουλος,υπουργος εμποριου,08/08/1991,07/08/1992,male
ανδρεας ανδριανοπουλος,υπουργος επικρατειας,07/08/1992,11/05/1993,male
ανδρεας καραγκουνης,υφυπουργος γεωργιας,03/12/1992,13/10/1993,male
ανδρεας λοβερδος,υφυπουργος εξωτερικων,23/01/2002,10/03/2004,male
ανδρεας λοβερδος,υπουργος εργασιας και κοινωνικης ασφαλισης,07/10/2009,07/09/2010,male
ανδρεας λοβερδος,υπουργος υγειας και κοινωνικης αλληλεγγυης,07/09/2010,11/11/2011,male
ανδρεας λοβερδος,υπουργος υγειας και κοινωνικης αλληλεγγυης,11/11/2011,17/05/2012,male
ανδρεας λοβερδος,υπουργος παιδειας και θρησκευματων,10/06/2014,27/01/2015,male
ανδρεας λυκουρεντζος,υφυπουργος εθνικης παιδειας και θρησκευματων,19/09/2007,07/10/2009,male
ανδρεας λυκουρεντζος,υπουργος υγειας,21/06/2012,25/06/2013,male
ανδρεας ξανθος,αναπληρωτης υπουργος υγειας και κοινωνικων ασφαλισεων,27/01/2015,27/08/2015,male
ανδρεας ξανθος,υπουργος υγειας,23/09/2015,09/07/2019,male
ανδρεας παπανδρεου,πρωθυπουργος,13/10/1993,17/01/1996,male
ανδρεας φουρας,υφυπουργος πολιτισμου,22/01/1996,25/09/1996,male
ανδρεας φουρας,υφυπουργος πολιτισμου,25/09/1996,13/04/2000,male
αννα διαμαντοπουλου,υφυπουργος αναπτυξης,25/09/1996,23/06/1999,female
αννα διαμαντοπουλου,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,07/10/2009,11/11/2011,female
αννα διαμαντοπουλου,υπουργος αναπτυξης ανταγωνιστικοτητας και ναυτιλιας,07/03/2012,17/05/2012,female
αννα διαμαντοπουλου,υπουργος παιδειας δια βιου μαθησης και θρησκευματων,11/11/2011,07/03/2012,female
αννα νταλαρα,υφυπουργος εργασιας και κοινωνικης ασφαλισης,07/09/2010,17/06/2011,female
αννα ψαρουδα-μπενακη,αναπληρωτης υπουργος εθνικης παιδειας και θρησκευματων,02/07/1989,12/10/1989,female
αννα ψαρουδα-μπενακη,υπουργος πολιτισμου,02/07/1989,07/07/1989,female
αννα ψαρουδα-μπενακη,υπουργος πολιτισμου,08/08/1991,03/12/1992,female
αννα ψαρουδα-μπενακη,υπουργος δικαιοσυνης,03/12/1992,14/09/1993,female
αννα ψαρουδα-μπενακη,αναπληρωτης υπουργος πολιτισμου,11/04/1990,08/08/1991,female
αντωνιος αργυρος,υπουργος επικρατειας,17/05/2012,21/06/2012,male
αντωνιος διαματαρης,υφυπουργος εξωτερικων,09/07/2019,09/12/2019,male
αντωνιος κοτσακας,υφυπουργος εργασιας,13/10/1993,08/07/1994,male
αντωνιος κοτσακας,υπουργος αιγαιου,08/07/1994,22/01/1996,male
αντωνιος κοτσακας,υπουργος αιγαιου,22/01/1996,25/09/1996,male
αντωνιος λιβανης,υπουργος επικρατειας,15/09/1995,22/01/1996,male
αντωνιος λιβανης,υφυπουργος στον πρωθυπουργο,13/10/1993,15/09/1995,male
αντωνιος μακρυδημητρης,αναπληρωτης υπουργος εσωτερικων και διοικητικης ανασυγκροτησης,28/08/2015,21/09/2015,male
αντωνιος μανιτακης,υπουργος εσωτερικων,17/05/2012,21/06/2012,male
αντωνιος μανιτακης,υπουργος διοικητικης μεταρρυθμισης και ηλεκτρονικης διακυβερνησης,21/06/2012,25/06/2013,male
αντωνιος μανιτακης,υπουργος εσωτερικων και διοικητικης ανασυγκροτησης,28/08/2015,21/09/2015,male
αντωνιος μπεζας,υφυπουργος οικονομιας και οικονομικων,10/10/2005,19/09/2007,male
αντωνιος μπεζας,υφυπουργος οικονομιας και οικονομικων,19/09/2007,07/10/2009,male
αντωνιος μπεζας,υφυπουργος υγειας,25/06/2013,10/06/2014,male
αντωνιος μπεζας,υφυπουργος εργασιας κοινωνικης ασφαλισης και προνοιας,10/06/2014,27/01/2015,male
αντωνιος ρουπακιωτης,υπουργος εργασιας και κοινωνικης ασφαλισης,17/05/2012,21/06/2012,male
αντωνιος ρουπακιωτης,υπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,21/06/2012,25/06/2013,male
αντωνιος ρουπακιωτης,υπουργος εσωτερικων,13/06/2019,09/07/2019,male
αντωνιος σαμαρας,υπουργος οικονομικων,02/07/1989,12/10/1989,male
αντωνιος σαμαρας,υπουργος εξωτερικων,23/11/1989,16/02/1990,male
αντωνιος σαμαρας,υπουργος εξωτερικων,11/04/1990,14/04/1992,male
αντωνιος σαμαρας,υπουργος πολιτισμου,08/01/2009,07/10/2009,male
αντωνιος σαμαρας,πρωθυπουργος,20/06/2012,26/01/2015,male
αντωνιος φουσσας,υπουργος αιγαιου,12/10/1989,23/11/1989,male
αντωνιος φουσσας,υπουργος αιγαιου,23/11/1989,11/04/1990,male
αποστολος ανδρεουλακος,υφυπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,10/03/2004,19/09/2007,male
αποστολος βεσυροπουλος,υφυπουργος οικονομικων,09/07/2019,27/07/2020,male
αποστολος κακλαμανης,υπουργος εργασιας,23/11/1989,13/02/1990,male
αποστολος κατσιφαρας,υφυπουργος δικαιοσυνης διαφανειας και ανθρωπινων δικαιωματων,07/10/2009,07/09/2010,male
αποστολος κρατσας,υφυπουργος μεταφορων και επικοινωνιων,11/04/1990,08/08/1991,male
αποστολος σταυρου,υφυπουργος γεωργιας,03/12/1992,13/10/1993,male
αποστολος φωτιαδης,υφυπουργος γεωργιας,22/01/1996,25/09/1996,male
αποστολος φωτιαδης,υφυπουργος οικονομικων,13/04/2000,10/03/2004,male
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος μεταφορων και επικοινωνιων,23/11/1989,13/02/1990,male
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,15/09/1995,22/01/1996,male
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εσωτερικων,13/10/1993,08/07/1994,male
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εσωτερικων δημοσιας διοικησης και αποκεντρωσης,22/01/1996,30/08/1996,male
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εθνικης αμυνας,25/09/1996,13/04/2000,male
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος αναπτυξης,24/10/2001,10/03/2004,male
αποστολος-αθανασιος τσοχατζοπουλος,υπουργος εθνικης αμυνας,13/04/2000,24/10/2001,male
αργυρης ντινοπουλος,υπουργος εσωτερικων,10/06/2014,31/12/2014,male
αριστειδης καλαντζακος,υπουργος εργασιας,11/04/1990,13/10/1993,male
αριστειδης τσιπλακος,υφυπουργος εθνικης οικονομιας,11/04/1990,13/10/1993,male
αριστειδης-νικολαος-δημητριος μπαλτας,υπουργος πολιτισμου παιδειας και θρησκευματων,27/01/2015,27/08/2015,male
αριστειδης-νικολαος-δημητριος μπαλτας,υπουργος πολιτισμου και αθλητισμου,23/09/2015,05/11/2016,male
αριστοβουλος σπηλιωτοπουλος,υπουργος τουριστικης αναπτυξης,19/09/2007,07/01/2009,male
αριστοβουλος σπηλιωτοπουλος,υπουργος εθνικης παιδειας και θρησκευματων,08/01/2009,07/10/2009,male
αριστοτελης παυλιδης,υπουργος εμπορικης ναυτιλιας,02/07/1989,12/10/1989,male
αριστοτελης παυλιδης,υφυπουργος οικονομικων,11/04/1990,24/05/1990,male
αριστοτελης παυλιδης,υπουργος εμπορικης ναυτιλιας,01/10/1990,03/12/1992,male
αριστοτελης παυλιδης,αναπληρωτης υπουργος εμπορικης ναυτιλιας,24/05/1990,01/10/1990,male
αριστοτελης παυλιδης,υπουργος αιγαιου και νησιωτικης πολιτικης,10/03/2004,19/09/2007,male
ασημακης παπαγεωργιου,υφυπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,21/06/2012,27/01/2015,male
αστεριος πιτσιορλας,αναπληρωτης υπουργος οικονομιας και αναπτυξης,29/08/2018,09/07/2019,male
αστεριος πιτσιορλας,υφυπουργος οικονομιας και αναπτυξης,05/11/2016,29/08/2018,male
αστεριος ροντουλης,υφυπουργος αγροτικης αναπτυξης και τροφιμων,11/11/2011,14/02/2012,male
αχιλλεας καραμανλης,υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,08/08/1991,13/10/1993,male
αχιλλεας καραμανλης,αναπληρωτης υπουργος περιβαλλοντος χωροταξιας και δημοσιων εργων,11/04/1990,08/08/1991,male
βασιλειος βασιλακακης,υφυπουργος γεωργιας,08/07/1994,15/09/1995,male
